source_file,status,store_hint,detected_rows,ocr_line_count,total_amount_hint,parse_confidence_avg,warnings,error
AH foto 2.jpeg,success,albert_heijn,5,34,8.28,0.708,"['discount_or_loyalty_line', 'multiple_amounts_detected']",
AH foto 3.jpg,success,albert_heijn,0,34,,0.0,[],
Aldi foto 1.jpg,success,aldi,9,36,6.55,0.634,"['multiple_amounts_detected', 'multiple_amounts_detected;ocr_noise', 'ocr_noise']",
Aldi foto 2.jpg,success,aldi,11,20,,0.646,"['multiple_amounts_detected', 'multiple_amounts_detected;ocr_noise', 'ocr_noise']",
Jumbo App 1.png,success,jumbo,19,40,56.91,0.719,"['discount_or_loyalty_line', 'multiple_amounts_detected']",
Jumbo foto 1.jpeg,success,jumbo,11,63,22.82,0.691,"['discount_or_loyalty_line;ocr_noise', 'multiple_amounts_detected']",
Jumbo foto 3.jpg,success,jumbo,0,68,0.00,0.0,[],
Lidl App 1.png,success,lidl,23,50,40.75,0.733,"['discount_or_loyalty_line', 'multiple_amounts_detected']",
Lidl App 2.png,success,lidl,23,54,34.14,0.728,"['discount_or_loyalty_line', 'multiple_amounts_detected']",
plus foto 1.jpg,success,albert_heijn,9,155,,0.703,"['discount_or_loyalty_line', 'multiple_amounts_detected', 'ocr_noise']",
Plus foto 2.jpeg,success,albert_heijn,10,105,614.36,0.748,['multiple_amounts_detected'],
